id,checking,credit_usage,credit_history,purpose,current_balance,savings,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
379,0<=x<200,36,existing paid,new car,14318,x<100,x>=7,4,male single,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
380,no checking,6,critical/other existing credit,new car,362,100<=x<500,1<=x<4,4,female div/dep/mar,none,4,car,52,none,own,2,unskilled resident,1,none,yes,good
381,x<0,20,existing paid,furniture/equipment,2212,no known savings,4<=x<7,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,good
382,0<=x<200,18,existing paid,used car,12976,x<100,unemployed,3,female div/dep/mar,none,4,no known property,38,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
383,no checking,22,existing paid,new car,1283,no known savings,4<=x<7,4,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,none,yes,good
384,x>=200,12,existing paid,new car,1330,x<100,x<1,4,male single,none,1,real estate,26,none,own,1,skilled,1,none,yes,good
385,no checking,30,delayed previously,business,4272,100<=x<500,1<=x<4,2,male single,none,2,life insurance,26,none,own,2,unskilled resident,1,none,yes,good
386,no checking,18,critical/other existing credit,radio/tv,2238,x<100,1<=x<4,2,female div/dep/mar,none,1,car,25,none,own,2,skilled,1,none,yes,good
387,no checking,18,existing paid,radio/tv,1126,no known savings,x<1,4,female div/dep/mar,none,2,real estate,21,none,rent,1,skilled,1,yes,yes,good
388,0<=x<200,18,critical/other existing credit,furniture/equipment,7374,x<100,unemployed,4,male single,none,4,life insurance,40,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
389,0<=x<200,15,critical/other existing credit,business,2326,500<=x<1000,1<=x<4,2,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,good
390,no checking,9,existing paid,business,1449,x<100,4<=x<7,3,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,good
391,no checking,18,existing paid,new car,1820,x<100,1<=x<4,2,male mar/wid,none,2,life insurance,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
392,0<=x<200,12,existing paid,furniture/equipment,983,x>=1000,x<1,1,female div/dep/mar,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,good
393,x<0,36,existing paid,new car,3249,x<100,4<=x<7,2,male single,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
394,x<0,6,critical/other existing credit,radio/tv,1957,x<100,4<=x<7,1,female div/dep/mar,none,4,car,31,none,own,1,skilled,1,none,yes,good
395,no checking,9,critical/other existing credit,furniture/equipment,2406,x<100,unemployed,2,male single,none,3,car,31,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
396,0<=x<200,39,delayed previously,education,11760,100<=x<500,4<=x<7,2,male single,none,3,no known property,32,none,rent,1,skilled,1,yes,yes,good
397,x<0,12,existing paid,furniture/equipment,2578,x<100,unemployed,3,female div/dep/mar,none,4,no known property,55,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
398,x<0,36,critical/other existing credit,furniture/equipment,2348,x<100,1<=x<4,3,male mar/wid,none,2,life insurance,46,none,own,2,skilled,1,yes,yes,good
399,0<=x<200,12,existing paid,new car,1223,x<100,x>=7,1,male div/sep,none,1,real estate,46,none,rent,2,skilled,1,none,yes,bad
400,no checking,24,critical/other existing credit,radio/tv,1516,x>=1000,1<=x<4,4,female div/dep/mar,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,good
401,no checking,18,existing paid,radio/tv,1473,x<100,x<1,3,male mar/wid,none,4,real estate,39,none,own,1,skilled,1,yes,yes,good
402,0<=x<200,18,critical/other existing credit,business,1887,no known savings,1<=x<4,4,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,none,yes,good
403,no checking,24,delayed previously,business,8648,x<100,x<1,2,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
404,no checking,14,delayed previously,new car,802,x<100,1<=x<4,4,male single,none,2,car,27,none,own,2,unskilled resident,1,none,yes,good
405,0<=x<200,18,delayed previously,new car,2899,no known savings,x>=7,4,male single,none,4,car,43,none,own,1,skilled,2,none,yes,good
406,0<=x<200,24,existing paid,radio/tv,2039,x<100,x<1,1,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad
407,no checking,24,critical/other existing credit,used car,2197,no known savings,4<=x<7,4,male single,none,4,car,43,none,own,2,skilled,2,yes,yes,good
408,x<0,15,existing paid,radio/tv,1053,x<100,x<1,4,male mar/wid,none,2,real estate,27,none,own,1,skilled,1,none,no,good
409,no checking,24,existing paid,radio/tv,3235,500<=x<1000,x>=7,3,male div/sep,none,2,car,26,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
410,x>=200,12,critical/other existing credit,new car,939,500<=x<1000,4<=x<7,4,male mar/wid,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad
411,0<=x<200,24,existing paid,radio/tv,1967,x<100,x>=7,4,female div/dep/mar,none,4,car,20,none,own,1,skilled,1,yes,yes,good
412,no checking,33,critical/other existing credit,used car,7253,x<100,4<=x<7,3,male single,none,2,car,35,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
413,no checking,12,critical/other existing credit,business,2292,x<100,unemployed,4,male single,none,2,car,42,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
414,no checking,10,existing paid,new car,1597,500<=x<1000,1<=x<4,3,male single,none,2,no known property,40,none,rent,1,unskilled resident,2,none,no,good
415,x<0,24,existing paid,new car,1381,no known savings,1<=x<4,4,female div/dep/mar,none,2,life insurance,35,none,own,1,skilled,1,none,yes,bad
416,no checking,36,critical/other existing credit,used car,5842,x<100,x>=7,2,male single,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,good
417,x<0,12,existing paid,new car,2579,x<100,x<1,4,male single,none,1,real estate,33,none,own,1,unskilled resident,2,none,yes,bad
418,x<0,18,delayed previously,education,8471,no known savings,1<=x<4,1,female div/dep/mar,none,2,car,23,none,rent,2,skilled,1,yes,yes,good
419,no checking,21,existing paid,new car,2782,500<=x<1000,4<=x<7,1,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
420,0<=x<200,18,existing paid,new car,1042,no known savings,1<=x<4,4,female div/dep/mar,none,2,life insurance,33,none,own,1,skilled,1,none,yes,bad
421,no checking,15,existing paid,new car,3186,x>=1000,4<=x<7,2,female div/dep/mar,none,3,car,20,none,rent,1,skilled,1,none,yes,good
422,0<=x<200,12,existing paid,used car,2028,no known savings,1<=x<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,good
423,0<=x<200,12,critical/other existing credit,new car,958,x<100,4<=x<7,2,male single,none,3,real estate,47,none,own,2,unskilled resident,2,none,yes,good
424,no checking,21,delayed previously,furniture/equipment,1591,100<=x<500,4<=x<7,4,male single,none,3,real estate,34,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
425,0<=x<200,12,existing paid,furniture/equipment,2762,no known savings,x>=7,1,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
426,0<=x<200,18,existing paid,used car,2779,x<100,1<=x<4,1,male mar/wid,none,3,car,21,none,rent,1,skilled,1,yes,yes,good
427,no checking,28,critical/other existing credit,radio/tv,2743,x<100,x>=7,4,male single,none,2,car,29,none,own,2,skilled,1,none,yes,good
428,no checking,18,critical/other existing credit,radio/tv,1149,x>=1000,1<=x<4,4,male single,none,3,real estate,46,none,own,2,skilled,1,none,yes,good
429,no checking,9,existing paid,furniture/equipment,1313,x<100,x>=7,1,male single,none,4,car,20,none,own,1,skilled,1,none,yes,good
430,x<0,18,critical/other existing credit,repairs,1190,x<100,unemployed,2,female div/dep/mar,none,4,no known property,55,none,for free,3,unemp/unskilled non res,2,none,yes,bad
431,no checking,5,existing paid,business,3448,x<100,4<=x<7,1,male single,none,4,real estate,74,none,own,1,unskilled resident,1,none,yes,good
432,0<=x<200,24,existing paid,other,11328,x<100,1<=x<4,2,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
433,x<0,6,critical/other existing credit,furniture/equipment,1872,x<100,unemployed,4,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
434,no checking,24,critical/other existing credit,repairs,2058,x<100,1<=x<4,4,male div/sep,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good
435,x<0,9,existing paid,furniture/equipment,2136,x<100,1<=x<4,3,male single,none,2,real estate,25,none,own,1,skilled,1,none,yes,good
436,0<=x<200,12,existing paid,radio/tv,1484,no known savings,1<=x<4,2,male mar/wid,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad
437,no checking,6,existing paid,repairs,660,500<=x<1000,4<=x<7,2,male mar/wid,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,good
438,no checking,24,critical/other existing credit,new car,1287,x>=1000,x>=7,4,female div/dep/mar,none,4,real estate,37,none,own,2,skilled,1,yes,yes,good
439,x<0,42,critical/other existing credit,repairs,3394,x<100,unemployed,4,male single,co applicant,4,car,65,none,own,2,unemp/unskilled non res,1,none,yes,good
440,x>=200,12,all paid,business,609,x<100,x<1,4,female div/dep/mar,none,1,real estate,26,none,own,1,unemp/unskilled non res,1,none,yes,bad
441,no checking,12,existing paid,new car,1884,x<100,x>=7,4,male single,none,4,car,39,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
442,x<0,12,existing paid,furniture/equipment,1620,x<100,1<=x<4,2,female div/dep/mar,co applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,good
443,0<=x<200,20,delayed previously,other,2629,x<100,1<=x<4,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
444,no checking,12,existing paid,education,719,x<100,x>=7,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
445,0<=x<200,48,critical/other existing credit,furniture/equipment,5096,x<100,1<=x<4,2,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
446,no checking,9,critical/other existing credit,education,1244,no known savings,x>=7,4,female div/dep/mar,none,4,life insurance,41,none,rent,2,unskilled resident,1,none,yes,good
447,x<0,36,existing paid,new car,1842,x<100,x<1,4,female div/dep/mar,none,4,car,34,none,own,1,skilled,1,yes,yes,bad
448,0<=x<200,7,existing paid,radio/tv,2576,x<100,1<=x<4,2,male single,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,good
449,x>=200,12,existing paid,furniture/equipment,1424,no known savings,x>=7,3,female div/dep/mar,none,4,real estate,55,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
450,0<=x<200,15,delayed previously,repairs,1512,x>=1000,1<=x<4,3,male mar/wid,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad
451,no checking,36,critical/other existing credit,used car,11054,no known savings,1<=x<4,4,male single,none,2,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
452,no checking,6,existing paid,radio/tv,518,x<100,1<=x<4,3,female div/dep/mar,none,1,real estate,29,none,own,1,skilled,1,none,yes,good
453,no checking,12,no credits/all paid,furniture/equipment,2759,x<100,x>=7,2,male single,none,4,life insurance,34,none,own,2,skilled,1,none,yes,good
454,no checking,24,existing paid,used car,2670,x<100,x>=7,4,male single,none,4,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
455,x<0,24,existing paid,new car,4817,x<100,4<=x<7,2,male single,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,bad
456,no checking,24,existing paid,used car,2679,x<100,x<1,4,female div/dep/mar,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
457,x<0,11,critical/other existing credit,new car,3905,x<100,1<=x<4,2,male single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good
458,x<0,12,existing paid,used car,3386,x<100,x>=7,3,male single,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad
459,x<0,6,existing paid,domestic appliance,343,x<100,x<1,4,female div/dep/mar,none,1,real estate,27,none,own,1,skilled,1,none,yes,good
460,no checking,18,existing paid,radio/tv,4594,x<100,x<1,3,male single,none,2,car,32,none,own,1,skilled,1,yes,yes,good
461,x<0,36,existing paid,furniture/equipment,3620,x<100,1<=x<4,1,male single,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,good
462,x<0,15,existing paid,new car,1721,x<100,x<1,2,male single,none,3,real estate,36,none,own,1,skilled,1,none,yes,good
463,0<=x<200,12,existing paid,furniture/equipment,3017,x<100,x<1,3,female div/dep/mar,none,1,real estate,34,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good
464,0<=x<200,12,existing paid,retraining,754,no known savings,x>=7,4,male single,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good
465,no checking,18,existing paid,business,1950,x<100,4<=x<7,4,male single,none,1,car,34,stores,own,2,skilled,1,yes,yes,good
466,x<0,24,existing paid,used car,2924,x<100,1<=x<4,3,male single,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good
467,x<0,24,delayed previously,radio/tv,1659,x<100,x<1,4,female div/dep/mar,none,2,car,29,none,rent,1,unskilled resident,1,yes,yes,bad
468,no checking,48,delayed previously,radio/tv,7238,no known savings,x>=7,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,good
469,no checking,33,delayed previously,business,2764,x<100,1<=x<4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,yes,yes,good
470,no checking,24,delayed previously,used car,4679,x<100,4<=x<7,3,male single,none,3,car,35,none,own,2,unskilled resident,1,yes,yes,good
471,0<=x<200,24,existing paid,radio/tv,3092,100<=x<500,x<1,3,male mar/wid,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad
472,x<0,6,existing paid,education,448,x<100,x<1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,none,yes,bad
473,x<0,9,existing paid,new car,654,x<100,1<=x<4,4,male single,none,3,car,28,none,own,1,unskilled resident,1,none,yes,bad
474,no checking,6,existing paid,retraining,1238,no known savings,unemployed,4,male single,none,4,life insurance,36,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
475,0<=x<200,18,critical/other existing credit,radio/tv,1245,x<100,1<=x<4,4,male mar/wid,none,2,car,33,none,own,1,skilled,1,none,yes,bad
476,x<0,18,no credits/all paid,furniture/equipment,3114,x<100,x<1,1,female div/dep/mar,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,bad
477,no checking,39,existing paid,used car,2569,500<=x<1000,1<=x<4,4,male single,none,4,car,24,none,own,1,skilled,1,none,yes,good
478,x>=200,24,existing paid,radio/tv,5152,x<100,4<=x<7,4,male single,none,2,car,25,bank,own,1,skilled,1,none,yes,good
479,0<=x<200,12,existing paid,business,1037,100<=x<500,4<=x<7,3,male single,none,4,real estate,39,none,own,1,unskilled resident,1,none,yes,good
480,x<0,15,critical/other existing credit,furniture/equipment,1478,x<100,x>=7,4,male single,none,4,car,44,none,own,2,skilled,2,yes,yes,good
481,0<=x<200,12,critical/other existing credit,radio/tv,3573,x<100,1<=x<4,1,female div/dep/mar,none,1,real estate,23,none,own,1,unskilled resident,1,none,yes,good
482,0<=x<200,24,existing paid,new car,1201,x<100,x<1,4,male single,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good
483,x<0,30,existing paid,furniture/equipment,3622,x>=1000,x>=7,4,female div/dep/mar,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good
484,no checking,15,delayed previously,furniture/equipment,960,x>=1000,4<=x<7,3,female div/dep/mar,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good
485,no checking,12,critical/other existing credit,new car,1163,500<=x<1000,1<=x<4,4,male single,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good
486,0<=x<200,6,delayed previously,new car,1209,x<100,unemployed,4,male single,none,4,life insurance,47,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
487,no checking,12,existing paid,radio/tv,3077,x<100,1<=x<4,2,male single,none,4,car,52,none,own,1,skilled,1,yes,yes,good
488,no checking,24,existing paid,new car,3757,x<100,x>=7,4,female div/dep/mar,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good
489,no checking,10,existing paid,new car,1418,100<=x<500,1<=x<4,3,male single,none,2,real estate,35,none,rent,1,unskilled resident,1,none,no,good
490,no checking,6,existing paid,new car,3518,x<100,1<=x<4,2,male single,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good
491,no checking,12,critical/other existing credit,radio/tv,1934,x<100,x>=7,2,male single,none,2,no known property,26,none,own,2,skilled,1,none,yes,good
492,0<=x<200,27,no credits/all paid,business,8318,x<100,x>=7,2,female div/dep/mar,none,4,no known property,42,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
493,no checking,6,critical/other existing credit,radio/tv,1237,100<=x<500,1<=x<4,1,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good
494,0<=x<200,6,existing paid,radio/tv,368,no known savings,x>=7,4,male single,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good
495,x<0,12,critical/other existing credit,new car,2122,x<100,1<=x<4,3,male single,none,2,real estate,39,none,rent,2,unskilled resident,2,none,no,good
496,x<0,24,existing paid,furniture/equipment,2996,no known savings,1<=x<4,2,male mar/wid,none,4,car,20,none,own,1,skilled,1,none,yes,bad
497,0<=x<200,36,existing paid,furniture/equipment,9034,100<=x<500,x<1,4,male single,co applicant,1,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
498,no checking,24,critical/other existing credit,furniture/equipment,1585,x<100,4<=x<7,4,male single,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good
499,0<=x<200,18,existing paid,radio/tv,1301,x<100,x>=7,4,male mar/wid,guarantor,2,real estate,32,none,own,1,unskilled resident,1,none,yes,good
500,x>=200,6,critical/other existing credit,new car,1323,100<=x<500,x>=7,2,male div/sep,none,4,car,28,none,own,2,skilled,2,yes,yes,good
501,x<0,24,existing paid,new car,3123,x<100,x<1,4,female div/dep/mar,none,1,life insurance,27,none,own,1,skilled,1,none,yes,bad
502,x<0,36,existing paid,used car,5493,x<100,x>=7,2,male single,none,4,no known property,42,none,for free,1,skilled,2,none,yes,good
503,x>=200,9,existing paid,radio/tv,1126,100<=x<500,x>=7,2,male div/sep,none,4,real estate,49,none,own,1,skilled,1,none,yes,good
504,0<=x<200,24,critical/other existing credit,radio/tv,1216,100<=x<500,x<1,4,male single,none,4,no known property,38,bank,own,2,skilled,2,none,yes,bad
505,x<0,24,existing paid,new car,1207,x<100,x<1,4,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
506,no checking,10,existing paid,new car,1309,no known savings,1<=x<4,4,male single,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,bad
507,x>=200,15,critical/other existing credit,used car,2360,500<=x<1000,1<=x<4,2,male single,none,2,car,36,none,own,1,skilled,1,yes,yes,good
508,0<=x<200,15,all paid,new car,6850,100<=x<500,unemployed,1,male single,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
509,no checking,24,existing paid,radio/tv,1413,x<100,1<=x<4,4,male mar/wid,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good
510,no checking,39,existing paid,used car,8588,100<=x<500,x>=7,4,male single,none,2,car,45,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
511,x<0,12,existing paid,new car,759,x<100,4<=x<7,4,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,bad
512,no checking,36,existing paid,used car,4686,x<100,1<=x<4,2,male single,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
513,x>=200,15,existing paid,business,2687,x<100,4<=x<7,2,male single,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,good
514,0<=x<200,12,delayed previously,radio/tv,585,x<100,1<=x<4,4,male mar/wid,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,good
515,no checking,24,existing paid,new car,2255,no known savings,x<1,4,male single,none,1,life insurance,54,none,own,1,skilled,1,none,yes,good
516,x<0,6,critical/other existing credit,new car,609,x<100,4<=x<7,4,female div/dep/mar,none,3,life insurance,37,none,own,2,skilled,1,none,no,good
517,x<0,6,critical/other existing credit,new car,1361,x<100,x<1,2,male single,none,4,real estate,40,none,own,1,unskilled resident,2,none,no,good
518,no checking,36,critical/other existing credit,furniture/equipment,7127,x<100,x<1,2,female div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad
519,x<0,6,existing paid,new car,1203,100<=x<500,x>=7,3,male single,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good
520,no checking,6,critical/other existing credit,radio/tv,700,no known savings,x>=7,4,male single,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good
521,no checking,24,critical/other existing credit,repairs,5507,x<100,x>=7,3,male single,none,4,no known property,44,none,for free,2,skilled,1,none,yes,good
522,x<0,18,existing paid,radio/tv,3190,x<100,1<=x<4,2,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad
523,x<0,48,no credits/all paid,furniture/equipment,7119,x<100,1<=x<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
524,no checking,24,existing paid,used car,3488,100<=x<500,4<=x<7,3,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,none,yes,good
525,0<=x<200,18,existing paid,radio/tv,1113,x<100,1<=x<4,4,female div/dep/mar,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,good
526,0<=x<200,26,existing paid,used car,7966,x<100,x<1,2,male single,none,3,car,30,none,own,2,skilled,1,none,yes,good
527,no checking,15,critical/other existing credit,education,1532,100<=x<500,1<=x<4,4,female div/dep/mar,none,3,car,31,none,own,1,skilled,1,none,yes,good
528,no checking,4,critical/other existing credit,radio/tv,1503,x<100,4<=x<7,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,good
529,x<0,36,existing paid,radio/tv,2302,x<100,1<=x<4,4,male div/sep,none,4,car,31,none,rent,1,skilled,1,none,yes,bad
530,x<0,6,existing paid,new car,662,x<100,x<1,3,male single,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,good
531,0<=x<200,36,existing paid,education,2273,x<100,4<=x<7,3,male single,none,1,car,32,none,own,2,skilled,2,none,yes,good
532,0<=x<200,15,existing paid,new car,2631,100<=x<500,1<=x<4,2,female div/dep/mar,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad
533,no checking,12,delayed previously,used car,1503,x<100,1<=x<4,4,male mar/wid,none,4,real estate,41,none,rent,1,skilled,1,none,yes,good
534,no checking,24,existing paid,radio/tv,1311,100<=x<500,4<=x<7,4,male mar/wid,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,good
535,no checking,24,existing paid,radio/tv,3105,no known savings,x<1,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,good
536,x>=200,21,critical/other existing credit,education,2319,x<100,x<1,2,male div/sep,none,1,car,33,none,rent,1,skilled,1,none,yes,bad
537,x<0,6,existing paid,new car,1374,no known savings,unemployed,4,female div/dep/mar,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
538,0<=x<200,18,critical/other existing credit,furniture/equipment,3612,x<100,x>=7,3,female div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,good
539,x<0,48,existing paid,new car,7763,x<100,x>=7,4,male single,none,4,no known property,42,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
540,x>=200,18,existing paid,furniture/equipment,3049,x<100,x<1,1,female div/dep/mar,none,1,life insurance,45,stores,own,1,unskilled resident,1,none,yes,good
541,0<=x<200,12,existing paid,radio/tv,1534,x<100,x<1,1,male mar/wid,none,1,real estate,23,none,rent,1,skilled,1,none,yes,bad
542,no checking,24,delayed previously,new car,2032,x<100,x>=7,4,male single,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,good
543,x<0,30,existing paid,furniture/equipment,6350,no known savings,x>=7,4,male single,none,4,life insurance,31,none,own,1,skilled,1,none,yes,bad
544,x>=200,18,existing paid,furniture/equipment,2864,x<100,1<=x<4,2,male single,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,bad
545,no checking,12,critical/other existing credit,new car,1255,x<100,x>=7,4,male single,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,good
546,x<0,24,delayed previously,new car,1333,x<100,unemployed,4,male single,none,2,real estate,43,none,for free,2,skilled,2,none,yes,bad
547,no checking,24,critical/other existing credit,new car,2022,x<100,1<=x<4,4,female div/dep/mar,none,4,car,37,none,own,1,skilled,1,yes,yes,good
548,no checking,24,existing paid,radio/tv,1552,x<100,4<=x<7,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,good
549,x<0,12,all paid,radio/tv,626,x<100,1<=x<4,4,female div/dep/mar,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,bad
550,no checking,48,critical/other existing credit,used car,8858,no known savings,4<=x<7,2,male single,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,good
551,no checking,12,critical/other existing credit,repairs,996,no known savings,4<=x<7,4,female div/dep/mar,none,4,real estate,23,none,own,2,skilled,1,none,yes,good
552,no checking,6,all paid,radio/tv,1750,500<=x<1000,x>=7,2,male single,none,4,life insurance,45,bank,own,1,unskilled resident,2,none,yes,good
553,x<0,48,existing paid,radio/tv,6999,x<100,4<=x<7,1,male mar/wid,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad
554,0<=x<200,12,critical/other existing credit,new car,1995,100<=x<500,x<1,4,male single,none,1,car,27,none,own,1,skilled,1,none,yes,good
555,0<=x<200,9,existing paid,education,1199,x<100,4<=x<7,4,female div/dep/mar,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
556,0<=x<200,12,existing paid,radio/tv,1331,x<100,x<1,2,male single,none,1,car,22,stores,own,1,skilled,1,none,yes,bad
557,0<=x<200,18,no credits/all paid,new car,2278,100<=x<500,x<1,3,female div/dep/mar,none,3,car,28,none,own,2,skilled,1,none,yes,bad
558,no checking,21,no credits/all paid,new car,5003,no known savings,1<=x<4,1,female div/dep/mar,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad
559,x<0,24,all paid,furniture/equipment,3552,x<100,4<=x<7,3,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,bad
560,0<=x<200,18,critical/other existing credit,furniture/equipment,1928,x<100,x<1,2,male single,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,bad
561,x<0,24,existing paid,used car,2964,no known savings,x>=7,4,male single,none,4,no known property,49,bank,for free,1,skilled,2,yes,yes,good
562,x<0,24,all paid,radio/tv,1546,x<100,4<=x<7,4,male single,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,bad
563,x>=200,6,delayed previously,radio/tv,683,x<100,x<1,2,female div/dep/mar,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,good
564,0<=x<200,36,existing paid,new car,12389,no known savings,1<=x<4,1,male single,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,bad
565,0<=x<200,24,delayed previously,business,4712,no known savings,1<=x<4,4,male single,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
566,0<=x<200,24,delayed previously,radio/tv,1553,100<=x<500,4<=x<7,3,female div/dep/mar,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,good
567,x<0,12,existing paid,new car,1372,x<100,4<=x<7,2,male div/sep,none,3,car,36,none,own,1,skilled,1,none,yes,bad
568,no checking,24,critical/other existing credit,radio/tv,2578,x>=1000,x>=7,2,male single,none,2,car,34,none,own,1,skilled,1,none,yes,good
